iter	RMSE
0	46681.92906
1	41797.68962
2	38375.46259
3	35263.94099
4	32323.44431
5	30675.67593
6	28956.15714
7	27593.50295
8	25988.47443
9	25146.32405
10	24416.14598
11	23728.40584
12	23171.09103
13	22350.43619
14	22109.44684
15	21707.00762
16	21379.83867
17	20860.74556
18	20671.76307
19	20295.85688
20	20128.74041
21	20061.37597
22	19949.16638
23	19849.261
24	19742.99032
25	19583.83945
26	19428.79225
27	19352.30329
28	19127.82777
29	18936.37798
30	18775.91379
31	18727.26642
32	18436.03652
33	18375.52057
34	18166.56267
35	18050.58719
36	17938.88357
37	17918.85119
38	17858.97017
39	17819.44237
40	17649.63203
41	17538.85903
42	17461.07144
43	17283.47781
44	17263.35995
45	17122.52279
46	17086.81975
47	16910.86871
48	16841.40073
49	16615.76
50	16613.4989
51	16576.03915
52	16534.14329
53	16455.42601
54	16444.64096
55	16342.8446
56	16261.69391
57	16190.15997
58	16156.93663
59	16108.24241
60	15898.7884
61	15845.01174
62	15781.77754
63	15662.96838
64	15557.98644
65	15517.4423
66	15335.23613
67	15243.80495
68	15182.37845
69	14953.65096
70	14895.67741
71	14822.77667
72	14802.43474
73	14788.83061
74	14761.99651
75	14713.09201
76	14654.20702
77	14572.41369
78	14464.34478
79	14388.77126
80	14351.7303
81	14327.92317
82	14309.43474
83	14280.42179
84	14241.70058
85	14211.61456
86	14187.49414
87	14170.84597
88	14092.32983
89	14023.06349
90	13942.94165
91	13819.45747
92	13777.31822
93	13734.10787
94	13665.89691
95	13587.17436
96	13474.50469
97	13424.95894
98	13376.72359
99	13332.22621
100	13315.17307
101	13242.92466
102	13103.79059
103	13056.7988
104	13036.54951
105	13005.8638
106	12969.04304
107	12929.78153
108	12894.74607
109	12845.75144
110	12808.72916
111	12729.29851
112	12691.20081
113	12670.92542
114	12603.66954
115	12581.63584
116	12541.31027
117	12499.13209
118	12449.94977
119	12408.38663
120	12372.30552
121	12361.84946
122	12345.4087
123	12329.85433
124	12260.28049
125	12236.26149
126	12216.42542
127	12171.25372
128	12121.55575
129	12052.20271
130	12010.81602
131	11907.78932
132	11890.57304
133	11829.51211
134	11785.72649
135	11769.77022
136	11725.40644
137	11663.09111
138	11634.05341
139	11619.90134
140	11606.66035
141	11519.68033
142	11504.7601
143	11494.89437
144	11460.77991
145	11449.44284
146	11411.74224
147	11406.40001
148	11326.19233
149	11294.99952
150	11258.48876
151	11204.34955
152	11183.84266
153	11150.61154
154	11112.93822
155	11107.26282
156	11022.58623
157	11009.6342
158	10997.60815
159	10981.20384
160	10931.67151
161	10918.76061
162	10910.50622
163	10873.86891
164	10848.90718
165	10828.175
166	10773.4608
167	10765.52078
168	10744.89638
169	10715.6333
170	10692.41563
171	10674.81728
172	10643.24918
173	10621.07778
174	10600.83996
175	10582.15454
176	10543.39684
177	10511.09414
178	10494.19786
179	10473.26334
180	10459.05951
181	10436.95557
182	10398.4602
183	10388.1124
184	10375.78137
185	10363.01096
186	10345.79411
187	10338.66813
188	10320.11946
189	10290.47548
190	10261.26725
191	10256.70953
192	10243.77744
193	10220.43395
194	10216.4118
195	10183.53538
196	10169.41036
197	10139.5685
198	10134.30516
199	10118.0976
200	10114.87533
201	10092.14058
202	10081.74475
203	10066.71164
204	10042.69581
205	10033.32096
206	10007.77889
207	9967.672391
208	9944.366679
209	9938.297914
210	9925.593289
211	9909.407319
212	9908.208349
213	9850.548468
214	9838.205637
215	9813.769495
216	9801.82669
217	9771.016927
218	9753.738476
219	9701.295188
220	9692.34268
221	9658.691363
222	9653.455438
223	9637.873898
224	9630.065944
225	9613.279544
226	9585.365902
227	9529.263665
228	9509.720525
229	9504.532901
230	9483.69713
231	9422.509042
232	9394.993402
233	9385.627748
234	9361.467905
235	9352.712396
236	9343.510088
237	9320.606504
238	9309.024847
239	9262.473226
240	9250.530394
241	9249.370469
242	9239.255841
243	9173.887212
244	9166.793443
245	9159.985245
246	9123.998245
247	9107.279096
248	9099.393036
249	9089.212665
250	9085.683661
251	9050.217066
252	9031.173484
253	9001.744818
254	8999.592277
255	8973.998421
256	8967.715697
257	8951.536764
258	8926.316444
259	8914.944415
260	8901.028104
261	8886.43936
262	8877.632055
263	8872.47336
264	8862.144735
265	8852.166591
266	8842.137661
267	8828.243358
268	8820.884662
269	8816.995433
270	8795.469899
271	8793.486071
272	8782.402713
273	8770.781486
274	8749.729046
275	8724.781123
276	8606.107827
277	8585.921811
278	8584.488695
279	8574.575072
280	8565.774436
281	8562.838166
282	8553.962936
283	8515.370189
284	8502.632588
285	8487.434874
286	8486.361092
287	8478.996715
288	8469.784838
289	8447.462693
290	8435.247407
291	8429.715624
292	8420.9293
293	8410.631993
294	8405.639335
295	8395.121522
296	8372.724236
297	8349.854839
298	8334.812263
299	8331.700007
