iter	Passed	Remaining
0	2	713
1	4	602
2	6	641
3	8	629
4	10	646
5	13	669
6	15	647
7	18	679
8	20	653
9	23	671
10	25	666
11	27	652
12	29	641
13	30	622
14	31	607
15	33	597
16	35	595
17	37	587
18	39	580
19	41	574
20	43	572
21	44	563
22	45	553
23	47	549
24	49	543
25	51	539
26	52	534
27	54	526
28	56	529
29	57	521
30	60	527
31	63	528
32	64	524
33	66	523
34	69	523
35	72	528
36	74	529
37	76	525
38	77	521
39	79	516
40	80	511
41	82	507
42	84	504
43	86	501
44	88	500
45	90	499
46	92	496
47	93	492
48	96	492
49	98	490
50	99	483
51	100	479
52	102	476
53	103	473
54	105	471
55	107	468
56	109	465
57	110	462
58	113	463
59	114	459
60	116	456
61	119	456
62	120	454
63	122	453
64	124	450
65	126	448
66	127	445
67	129	442
68	131	440
69	133	439
70	136	439
71	138	437
72	139	433
73	140	430
74	142	427
75	144	425
76	145	422
77	148	422
78	151	422
79	153	420
80	154	418
81	156	416
82	158	414
83	161	414
84	163	412
85	165	411
86	167	409
87	169	408
88	171	407
89	173	404
90	174	401
91	176	399
92	178	396
93	180	396
94	183	395
95	184	392
96	186	390
97	188	388
98	190	387
99	192	385
100	194	383
101	196	381
102	199	380
103	201	379
104	203	378
105	205	376
106	207	373
107	209	372
108	211	370
109	212	367
110	214	365
111	215	362
112	218	361
113	220	360
114	222	357
115	224	356
116	226	354
117	229	353
118	231	352
119	234	351
120	236	349
121	238	348
122	240	346
123	242	344
124	244	342
125	246	339
126	248	337
127	249	335
128	252	334
129	254	332
130	255	329
131	258	328
132	260	327
133	262	324
134	263	322
135	265	320
136	267	318
137	269	316
138	272	315
139	274	313
140	276	311
141	278	309
142	280	307
143	282	305
144	283	303
145	286	301
146	287	299
147	289	297
148	290	294
149	292	292
150	293	290
151	295	287
152	297	286
153	300	284
154	301	282
155	303	280
156	306	279
157	309	277
158	311	276
159	313	274
160	315	272
161	318	271
162	321	270
163	323	268
164	325	266
165	327	264
166	329	262
167	331	260
168	333	258
169	336	257
170	337	254
171	340	253
172	342	251
173	344	249
174	347	248
175	348	245
176	350	243
177	352	241
178	354	239
179	356	237
180	357	235
181	359	233
182	361	230
183	363	229
184	365	227
185	367	225
186	369	223
187	371	221
188	373	219
189	375	217
190	377	215
191	379	213
192	381	211
193	383	209
194	385	207
195	387	205
196	389	203
197	391	201
198	394	200
199	397	198
200	399	196
201	401	194
202	403	192
203	404	190
204	406	188
205	408	186
206	410	184
207	413	183
208	416	181
209	418	179
210	420	177
211	422	175
212	424	173
213	425	171
214	427	169
215	430	167
216	432	165
217	435	163
218	436	161
219	438	159
220	440	157
221	442	155
222	444	153
223	445	151
224	447	149
225	449	147
226	451	145
227	453	143
228	455	141
229	457	139
230	459	137
231	461	135
232	462	133
233	465	131
234	469	129
235	471	127
236	473	125
237	474	123
238	476	121
239	478	119
240	480	117
241	481	115
242	483	113
243	485	111
244	487	109
245	489	107
246	490	105
247	492	103
248	495	101
249	497	99
250	499	97
251	500	95
252	502	93
253	504	91
254	505	89
255	507	87
256	510	85
257	511	83
258	514	81
259	516	79
260	519	77
261	521	75
262	524	73
263	526	71
264	528	69
265	530	67
266	532	65
267	535	63
268	537	61
269	538	59
270	540	57
271	542	55
272	544	53
273	546	51
274	548	49
275	550	47
276	552	45
277	555	43
278	557	41
279	560	40
280	562	38
281	563	35
282	565	33
283	567	31
284	569	29
285	571	27
286	572	25
287	574	23
288	577	21
289	579	19
290	582	18
291	584	16
292	587	14
293	589	12
294	590	10
295	592	8
296	595	6
297	597	4
298	598	2
299	601	0
